Author,Title ,Cited in,ID in Kitab database,Other
Sibt ibn al-Jawzi,Mir’at al-Zaman fi Ta’rikh al-A’yan,Meri,0654SibtIbnJawzi.MiratZaman,
Ibn Asakir,Juz’ Timthal Na’l al-Nabi,Meri,0686AbuYamanIbnCasakir.JuzNaclNabi,
Ibn al-Tiqtaqa ,Al-Fakhri,Goldziher,0709IbnTiqtaqa.FakhriFiAdab,
Taymiyya I.,Iqtida'al-sirat al-mustaqim li-mukhalafat ashab al-jahim,Bursi,0728IbnTaymiyya.IqtidaSirat,
"Taymiyya I., 'Abd al-Halim A.",Iqtida Al-Sirat Al-Mustaqim Mukhalifat Ashab Al-Jahim,Abdulfattah,0728IbnTaymiyya.IqtidaSirat,
Taymiyya I.,Majmu'al-fatawa,Bursi,0728IbnTaymiyya.MajmucFatawa,
Abu'l-Fida ,Al-Mukhtasar fi Akhbar al-Bashar,Goldziher,0732AbuFida.MukhtasarFiAkhbarBashar,
Ibn Balban A.-D.A.-F.,Al-Ihsan fi taqrib Sahih Ibn Hibban,Bursi,0739CalaDinIbnBalban.Ihsan,
al-Mizzi J.-D.Y.,Tahdhib al-kamalfi asma' al-rijal,Bursi,0742Mizzi.TahdhibKamal,
al-Dhahabi S.A.-D.M.B.A.,Mizan al-i'tidal fi naqd al-rijal,Bursi,0748Dhahabi.MizanIctidal,
al-Dhahabi S.A.-D.M.B.A.,Mujam al-shuyukh,Bursi,0748Dhahabi.MucjamShuyukh,
al-Dhahabi S.A.-D.M.B.A.,Siyar a'lam al-nubala,Bursi,0748Dhahabi.SiyarAclamNubala,
al-Dhahabi S.A.-D.M.B.A.,Ta'rikh al-Islam wa-wafayat al-mashahir wa-l-a'lam,Bursi,0748Dhahabi.TarikhIslam,
Al-Jawziyya I.Q.,Ighathat al-lahfan f masa'id al-shaytan,Bursi,0751IbnQayyimJawziyya.IghathatLahfan,
"al-Kutubi, Muhammad ibn Shakir ",Fawat al-Wafayat,Goldziher,0764IbnShakirKutubi.FawatWafayat,
Kathir I.,Al-Bidaya wa-l-nihaya,Bursi,0774IbnKathir.Bidaya,
Ibn Battuta,Rihlat,"Abdulfattah, Goldziher, Margoliouth",0779IbnBattuta.Rihla,
Ibn Farhun,al-Dibaj al-Mudhhab fi Ma’rifat A’yan Ulama’ al-Madhhab,Meri,0799IbnFarhun.DibajMudhahhab,
al-Haythami N.-D.,Bughyat al-bahith Om zawa'id musnad al-Harith,Bursi,0807NurDinHaythami.BughyatBahith,
al-Haythami N.-D.,Majma' al-zawa'id wa-manba' al-fawa'id,Bursi,0807NurDinHaythami.MajmacZawaid,
Ibn Khaldun ,Kitab al-'Ibar,Goldziher,0808IbnKhaldun.Tarikh,
al-Damiri M.B.M.,Hayat al-hayawan al-kubra,Bursi,0808MuhammadDamiri.HayatHayawanKubra,
"Al-Zayyat I., Muhammad M.I.",Kitab al-Kawakib al-sayyarah fitartib al-ziyarah fial-qarafatayn al-kubra wa-al-sughra,Abdulfattah,0814IbnZayyat.KawakibSayyara,
" al-Maqrizi, Taqi al-Din Ahmad ibn Ali",Kitab al-muqaffa al-kabir,Abdulfattah,0845Maqrizi.Muqaffa,
"al-Maqrizi, Taqi al-Din Ahmad ibn Ali ",al-Mawaiz wa-al-i'tibar fidhikr al-khitat wa-al-athar,"Abdulfattah, Margolioth",0845Maqrizi/0845Maqrizi.Mawaciz,
Al-Asqalani I.H.,Fathal-baribi-sharh Sahih al-Bukhan\,"Bursi, Margolioth",0852IbnHajarCasqalani.FathBari,
Ibn Hajar al-Asqalani,Fath al-Bari bi-Sharh Sahih al-Bukhari,Meri,0852IbnHajarCasqalani.FathBari,
Al-Asqalani I.H.,Al-Isaba fi tamyiz al-sahaba,Bursi,0852IbnHajarCasqalani.IsabaFiTamyiz,
Al-Asqalani I.H.,Hady al-sari muqaddimat Fath al-bari,Bursi,0852IbnHajarCasqalani.MuqaddimatFathBari,
Al-Asqalani I.H.,Tahdhib al-tahdhib,Bursi,0852IbnHajarCasqalani.TahdhibTahdhib,
Ibn Hajar al-Asqalani ,Tahdhib al-Tahdhib,Goldziher,0852IbnHajarCasqalani.TahdhibTahdhib,
Ibn Hajar A.-A.,Taqrīb Al-Tahdhīb,"Bursi, Goldziher",0852IbnHajarCasqalani.TaqribTahdhib,
Al-Sakhawi,al-Daw’ al-Lami’,Meri,0902Sakhawi.DawLamic,
Al-Samhudi A.,Khulasat al-wafa bi-akhbar dar al-Mustafa,Bursi,0911Samhudi.KhulasatWafa,
al-Samhudi A.B.A.A.,Waf' al-wafa bi-akhbar Dar al-Mustafa,Bursi,0911Samhudi.WafaWafa,
al-Suyuti J.-D.,Al-Khasa'is al-kubra,Bursi,0911Suyuti.KhasaisKubra,
Al-Qastallani,al-Mawahib al-Ladunniyya,Meri,0923AhmadQastallani.MawahibLaduniyya,
Al-Nu’aymi,al-Daris fi Tarikh al-Madaris,Meri,0927Nucaymi.DarisFiMadaris,
